Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,Quantity,Method
0x7bb919e49b63fc8f03d3d6c8ebc3cb3df8be52d6c38b236d16345f43d0bc8fe8,31789633,1694858935,9/16/2023 10:08,0xc5174f8344054bf8ddc6b91ad27b508a133610f8,0xce66c6a88bd7bec215aa04fda4cf7c81055521d0,"6,222.26",Claim Distribution
0xc44d6650d96f12132382d18ca3c1f86e53c9c65e760f9917a07386e01eb4eb78,31789651,1694858989,9/16/2023 10:09,0x2530babefcfad989d1f8b14ba96c04050a644d53,0x80f914bb9c1a8b4109157a8d869aced42e18a63d,"10,000.22",Transfer
0x94a2fa6fed7f3657acddca8df69226540490ba83817ce9cfabcb39f87748ee5b,31789691,1694859109,9/16/2023 10:11,0xce66c6a88bd7bec215aa04fda4cf7c81055521d0,0x8c952aa45d55a060316bb84d927a144c380e25ca,"6,222.32",Transfer
0xbc12ea75b3a31f61dd8f651eb89969a78a2ee9d8ce61c56611b9b00dade8f664,31789707,1694859157,9/16/2023 10:12,0x8e5da6282e1b07951464ee60758c839bda8a6f28,0x6ad9e9c098a45b2b41b519119c31c3dcb02accb2,4.1,Transfer
0x1e36c9844aeec5518b5f11ad2081ed38a4522e2131e91e38296da3f980508336,31789722,1694859202,9/16/2023 10:13,0x436ce2ce8d8d2ccc062f6e92faf410db4d397905,0x9b0fa015c2fc84f3aa97b17e20a8815977f48433,203.9951557,Withdraw Token
0x151f6e58d60657fa7b90d8051214f731d54777b7c0b8af6a8f5a6b164a1016ca,31789971,1694859962,9/16/2023 10:26,0xe92e4af2f4ed4cb5b764e63ee7d8f291b30935ff,0x1487e5f88521c891f514467df190d6678bffa69a,761.4,Claim
0x3a3dc289e34d1e98360c964cdd0dd1b4caba6727dde423eb137e9369f8075e86,31790433,1694861434,9/16/2023 10:50,0x6ee4722d9b32b35755e281dcd92bda7cd71551f2,0x53f78a071d04224b8e254e243fffc6d9f2f3fa23,882.0330008,Transfer
0xd856344ebf41f1d44e73dde91c93c9ac1c5f77169816324fc86c9af07cc89ff9,31790543,1694861794,9/16/2023 10:56,0x80f914bb9c1a8b4109157a8d869aced42e18a63d,0x53f78a071d04224b8e254e243fffc6d9f2f3fa23,"10,015.22",Transfer
0x8da00cbba9a296c92476271cf67cc2a266f7b85cbb76131107cb28f5bb4e871c,31790543,1694861794,9/16/2023 10:56,0x2c36c07a9e481da88636e91080fa11d6addfed86,0x53f78a071d04224b8e254e243fffc6d9f2f3fa23,"3,513.34",Transfer
0x24695797e92bbc474bca88ab817a472f92ac659d8c35ae6afe12180ac67ac3c0,31790722,1694862372,9/16/2023 11:06,0x53f78a071d04224b8e254e243fffc6d9f2f3fa23,0xc54348288afcdc5b906e721b81046d3a8cacd781,"4,500",Transfer
0xed93136c70d5b50ca13242d5217e3768475d4a977bc06497c14b3913dbf2fd56,31790907,1694862976,9/16/2023 11:16,0xccdd4ed6df26c357d45645aa6b9f25e0a0e13ac6,0x0e4e88c17ed42defa56108686400197cbeb5b4d6,315,Transfer
0x5c9d106cd34fa66479f2824d60a0079d6524ff1253b6bc516b6df0680d837576,31790910,1694862986,9/16/2023 11:16,0xccdd4ed6df26c357d45645aa6b9f25e0a0e13ac6,0x668d071c5b9009a3c3ee7782cbdef31654731a05,35,Transfer
0x838e583f44bb658042c7757e89804e3c406ef328bda94ff535fe5db185007674,31790912,1694862994,9/16/2023 11:16,0xe3e1b5e75cd99dddb156ff51c655ef86f22dfa12,0x3998bb54933709f6458671cb7a2ec14610c2042f,315,Transfer
0x88caec1742867fcef4949de4df9fad0c1433baa7578b8a5ad68cdad0f6188496,31790915,1694863003,9/16/2023 11:16,0xe3e1b5e75cd99dddb156ff51c655ef86f22dfa12,0x668d071c5b9009a3c3ee7782cbdef31654731a05,35,Transfer
0x32e3c3f358f31da35816665e8348ceb1037639fac20c07adb43dfb7c67e7bcf9,31790970,1694863181,9/16/2023 11:19,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,0x0000000000f73a9daf39d74d785f5886bfbae81b,220.4766593,-
0xa741a873104a5f7436e3bdc2dd636b0acf47be8ff2f0dd5d5f8949423091ec54,31790970,1694863181,9/16/2023 11:19,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,0x1fe2099942f35f67d0d0d3b9dfc4a8bd535c3d60,407.0313341,Multicall
0x5912129ac5dc0d7081e8ed7f1e4f9c3a2eb05b13b9f7e81f113cd5dc31d3b520,31790970,1694863181,9/16/2023 11:19,0x0000000000f73a9daf39d74d785f5886bfbae81b,0xa9a6f93b2c0b6d08924fc5ee2b81e01d40d746bc,220.4766593,-
0x470bc8ef1a0c675f4c4de0526fada1590b143b285669d431bc2f1d3182fc72a3,31791172,1694863793,9/16/2023 11:29,0x97d7d92abf52ddab1d5788d9c0f39ed2ab577dae,0x6ad9e9c098a45b2b41b519119c31c3dcb02accb2,20.1,Transfer
